author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Charles G. Nathanson,An Extrapolative Model of House Price Dynamics,Northwestern University,Jan 04 2016,10:15 AM,"Hilton Union Square, Continental Parlors 7 & 8",American Economic Association,"Behavioral Models of Housing Cycles (G1, R2)",,Charles G. Nathanson,Northwestern University,Nicholas C. Barberis,Yale University,Alvin Murphy,Arizona State University,Christopher J. Mayer,Columbia University,Ulrike Malmendier,University of California-Berkeley,,,Charles G. Nathanson,Male,Charles Nathanson,,,,,NA,NA,NA,NA,NA
Chiaki Moriguchi,"Top Income Shares in Japan, 1886-2012",Hitotsubashi University,Jan 03 2016,12:30 PM,"Parc 55, Davidson",Labor & Employment Relations Association,Inequality in Japan,J3,Arthur Sakamoto,Texas A&M University,David Autor,Massachusetts Institute of Technology,Arthur Sakamoto,Texas A&M University,,,,,,,CHIAKI MORIGUCHI,Female,,,,,,NA,NA,NA,NA,NA
Chiara Farronato,Outsourcing Tasks Online: Matching Supply and Demand on Peer-to-Peer Internet Platforms,Harvard Business School,Jan 05 2016,8:00 AM,"Hilton Union Square, Yosemite B",American Economic Association,The Economics of Peer to Peer Markets,D2,John Joseph Horton,New York University,Hal Varian,Google,Chris Nosko,University of Chicago,Tom Blake,eBay,Jonathan Hall,Uber Technologies,,,Chiara Farronato,Female,,,,,,NA,NA,NA,NA,NA
Chiara Farronato,Market Structure with the Entry of Peer-to-Peer Platforms: The Case of Hotels and Airbnb,Harvard Business School,Jan 05 2016,8:00 AM,"Hilton Union Square, Yosemite B",American Economic Association,The Economics of Peer to Peer Markets,D2,John Joseph Horton,New York University,Hal Varian,Google,Chris Nosko,University of Chicago,Tom Blake,eBay,Jonathan Hall,Uber Technologies,,,Chiara Farronato,Female,,,,,,NA,NA,NA,NA,NA
Chiara Fumagalli,Insurance Between Firms: The Role of Internal Labor Markets,Universita Bocconi,Jan 04 2016,8:00 AM,"Hilton Union Square, Continental – Parlor 1",American Economic Association,"Labor Related Issues: An International Perspective (G3, J5)",,Mara Faccio,Purdue University,David Parsley,Vanderbilt University,Geoffrey Tate,University of North Carolina,Kate Holland,Purdue University,William O'Brien,Purdue University,,,Chiara Fumagalli,Female,,,,,,NA,NA,NA,NA,NA
Chinhui Juhn,Selection and Specialization in the Evolution of Marriage Earnings Gaps,University of Houston,Jan 05 2016,1:00 PM,"Hilton Union Square, Franciscan C",American Economic Association,"Long Hours Jobs and Specialization in Marriage (J2, D1)",,Madeline Zavodny,Agnes Scott College,Ronald Oaxaca,University of Arizona,Ina Ganguli,University of Massachusetts-Amherst,Bradley Hardy,American University,Mary Ann Bronson,Georgetown University,,,CHINHUI JUHN,Female,,,,,,NA,NA,NA,NA,NA
Chinhui Juhn,Firm Performance and the Volatility of Worker Earnings,University of Houston,Jan 03 2016,8:00 AM,"Hilton Union Square, Golden Gate 1 & 2",American Economic Association,"Productivity Dispersion and Wage Inequality (D2, J3)",,John Haltiwanger,University of Maryland,Chad Syverson,University of Chicago,Gary Solon,University of Arizona,Jason Faberman,Federal Reserve Bank of Chicago,Steven J. Davis,University of Chicago,,,CHINHUI JUHN,Female,,,,,,NA,NA,NA,NA,NA
Chong Liu,"More Trusting, Less Trust? An Investigation of Early eCommerce in China",Peking University,Jan 04 2016,12:30 PM,"Marriott Marquis, Sierra J",Chinese Economists Society,China's eCommerce Development,M1,Xiaobo Zhang,Peking University and International Food Policy Research Institute,Ying Fan,University of Michigan,Ruochen Dai,Peking University,Mo Xiao,University of Arizona,Ginger Zhe Jin,University of Maryland and NBER,,,Chong Liu,Male,,,,,,NA,NA,NA,NA,NA
Chris Forman,Agglomeration of invention in the Bay Area: Not just ICT,Georgia Institute of Technology,Jan 04 2016,2:30 PM,"Hilton Union Square, Continental Ballroom 4",American Economic Association,"Digitization and Innovation (D2, L8)",,Shane Greenstein,Northwestern University,Kathryn Shaw,Stanford University,Megan MacGarvie,Boston University,Maryann Feldman,University of North Carolina,,,,,CHRIS FORMAN,Male,,,,,,NA,NA,NA,NA,NA
Chris Nosko,The Limits of Reputation in Platform Markets,University of Chicago and eBay Research Labs,Jan 03 2016,2:30 PM,"Marriott Marquis, Sierra B",Economic Science Association,"Internet Feedback Systems (C9, D4)",,Ben Greiner,University of New South Wales,Gary E. Bolton,University of Texas-Dallas,Andrey Fradkin,NBER,Ginger Zhe Jin,University of Maryland,John Wooders,University of Technology-Sydney,,,Chris Nosko,Male,,,,,,NA,NA,NA,NA,NA
Christian Catalini,Are Syndicates the Killer App of Equity Crowdfunding?,Massachusetts Institute of Technology,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 23 & 24",American Economic Association,"Crowdfunding Innovation (L1, G2)",,David Zvilichovsky,Tel Aviv University,Roy Zuckerman,Tel Aviv University,,,,,,,,,Christian Catalini,Male,,,,,,NA,NA,NA,NA,NA
Christian Hilber,Regulating Vacancies Away? The Paradoxical Effects of Mismatch in the Housing Market,London School of Economics,Jan 04 2016,8:00 AM,"Parc 55, Powell I",American Real Estate & Urban Economic Association,"Spatial Mismatch (J6, R2)",,Michael Eriksen,University of Cincinnati,Matthew Freedman,Drexel University,Zach Hawley,Texas Christian University,Yannis Ioannides,Tufts University,Alvin Murphy,Arizona State University,,,CHRISTIAN HILBER,Male,,,,,,NA,NA,NA,NA,NA
Christian Julliard,"Information Asymmetries, Volatility, Liquidity, and the Tobin Tax",London School of Economics,Jan 04 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 14 & 15",American Finance Association,Information Frictions in Asset Markets,G1,Laura Veldkamp,New York University,Ralph Koijen,London Business School,Bradyn Breon-Drish,Stanford University,Pietro Veronesi,University of Chicago,Pablo Kurlat,Stanford University,,,CHRISTIAN JULLIARD,Male,,,,,,NA,NA,NA,NA,NA
Christian Lundblad,Heterogeneous Taxes and Limited Risk Sharing: Evidence from Municipal Bonds,University of North Carolina,Jan 05 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 14 & 15",American Finance Association,Governments and Stock Prices,G1,Jules van Binsbergen,University of Pennsylvania,David Lucca,Federal Reserve Bank of New York,Chester Spatt,Carnegie Mellon University,Lorenz Kueng,Northwestern University,,,,,CHRISTIAN LUNDBLAD,Male,,,,,,NA,NA,NA,NA,NA
Christian Opp,The system-wide effects of bank capital regulation on credit supply and risk-taking,University of Pennsylvania,Jan 05 2016,10:15 AM,"Hilton Union Square, Union Square 3 & 4",Econometric Society,Financial Regulation,A1,Amit Seru,University of Chicago,,,,,,,,,,,Christian Opp,Male,,,,,,NA,NA,NA,NA,NA
Christian Siegel,Job Polarization and Structural Change,University of Exeter Business School,Jan 05 2016,8:00 AM,"Hilton Union Square, Continental – Parlor 1",American Economic Association,"Job Polarization and Biased Technological Change (J2, O3)",,Ariell Reshef,University of Virginia,David Autor,Massachusetts Institute of Technology,David Dorn,University of Zurich,Thomas Lemieux,University of British Columbia,Stephen Machin,University College London,,,Christian Siegel,Male,,,,,,NA,NA,NA,NA,NA
Christian Zimmermann,On the Need for a Replication Journal,Federal Reserve Bank of St. Louis,Jan 05 2016,10:15 AM,"Hilton Union Square, Franciscan C",American Economic Association,"Replication in Economics (B4, C1)",,Christian Zimmermann,Federal Reserve Bank of St. Louis,Jesse Rothstein,University of California-Berkeley,Michael Ash,University of Massachusetts Amherst,Johannes Pfeifer,University of Mannheim,Christian Zimmermann,Federal Reserve Bank of St. Louis,Graham A. Davis,Colorado School of Mines,Christian Zimmermann,Male,,,,,,NA,NA,NA,NA,NA
Christina Patterson,The Forward Guidance Puzzle,Massachusetts Institute of Technology,Jan 04 2016,10:15 AM,"Hilton Union Square, Golden Gate 8",American Economic Association,Forward Guidance in Monetary Policy,E4,Douglas Pearce,North Carolina State University,,,,,,,,,,,Christina Patterson,Female,,,,,,NA,NA,NA,NA,NA
Christoffer Koch,Commercial Bank Leverage and Regulatory Regimes: Comparative Evidence from the Great Depression and Great Recession,Federal Reserve Bank of Dallas,Jan 03 2016,8:00 AM,"Hilton Union Square, Continental Ballroom 4",American Economic Association,"Historical Perspectives on Financial Crisis, Banks and Regulation (E5, N2)",,Gary Richardson,Federal Reserve Bank of Richmond,Christoffer Koch,Federal Reserve Bank of Dallas,Jonathan Rose,Federal Reserve Board,Gregor Matvos,University of Chicago,Kinda Hachem,University of Chicago,,,Christoffer Koch,Male,,,,,,NA,NA,NA,NA,NA
Christoph Boehm,Input Linkages and the Transmission of Shocks: Firm-Level Evidence from the 2011 Tohoku Earthquake,University of Michigan,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 14",Econometric Society,"Firm-Level International Linkages (F1, F2)",,Andrew McCallum,Federal Reserve Board,Natalia Ramondo,University of California-San Diego,Teresa Fort,Dartmouth College,Kim Ruhl,New York University,James Tybout,Pennsylvania State University,Claudia Steinwender,Harvard Business School,Christoph Boehm,Male,,,,,,NA,NA,NA,NA,NA
Christoph Boehm,"Multinationals, Offshoring and the Decline in U.S. Manufacturing",University of Michigan,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 13",American Economic Association,"New Theory and Evidence on the Dynamics of Multinational Corporations (F1, F6)",,Stefania Garetto,Boston University,Stephen Yeaple,Pennsylvania State University,Javier Cravino,University of Michigan,Andres Rodriguez-Clare,University of California-Berkeley,Kei-Mu Yi,Federal Reserve Bank of Minneapolis,,,Christoph Boehm,Male,,,,,,NA,NA,NA,NA,NA
Christopher Busch,Asymmetric Business Cycle Risk and Government Insurance,University of Cologne,Jan 03 2016,10:15 AM,"Hilton Union Square, Golden Gate 1 & 2",American Economic Association,"Social Insurance Policy Over the Business Cycle: New Advances (E6, E3)",,Fatih Guvenen,"University of Minnesota, Federal Reserve Bank of Minneapolis, and NBER",,,,,,,,,,,Christopher Busch,Male,,,,,,NA,NA,NA,NA,NA
Christopher Costello,Mining and Quasi-Option Value,University of California-Santa Barbara,Jan 04 2016,10:15 AM,"Hilton Union Square, Union Square 5 & 6",Association of Environmental & Resource Economists,"Management of Natural Resources: Theory and Applications (Q2, Q3)",,Harrison Fell,Colorado School of Mines,Harrison Fell,Colorado School of Mines,Michael Hanemann,Arizona State University,Eduardo Souza-Rodrigues,University of Toronto,Christopher Costello,University of California-Santa Barbara,,,Christopher Costello,Male,,,,,,NA,NA,NA,NA,NA
Christopher J. Ruhm,"Paid Family Leave, Fathers’ Leave-Taking, and Leave-Sharing in Dual-Earner Households",University of Virginia,Jan 03 2016,10:15 AM,"Parc 55, Davidson",Labor & Employment Relations Association,Difference-in-Difference Analyses of the Effects of Family Policies,J1,Nancy Folbre,University of Massachusetts-Amherst,Elaine McCrate,University of Vermont,Marcus Dillender,WE Upjohn Institute for Employment Research,,,,,,,CHRISTOPHER J. RUHM,Male,,,,,,NA,NA,NA,NA,NA
Christopher J. Ruhm,Air Pollution and Procyclical Mortality,University of Virginia,Jan 04 2016,2:30 PM,"Parc 55, Embarcadero",International Health Economics Association/American Economic Association,"Economic Cycles and the Health of Nations: International Evidence (I1, E3)",,Albert A. Okunade,University of Memphis,John Friedman,Brown University,Andrew Friedson,University of Colorado-Denver,,,,,,,CHRISTOPHER J. RUHM,Male,,,,,,NA,NA,NA,NA,NA
Christopher Otrok,Capital Controls or Real Exchange Rate Policy?,University of Missouri,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 17 & 18",American Economic Association,"Capital Controls (F3, E6)",,Zheng Liu,Federal Reserve Bank of San Francisco,Nicolas Magud,International Monetary Fund,Michael B. Devereux,University of British Columbia,Martin Uribe,Columbia University,Kinda Hachem,University of Chicago,,,CHRISTOPHER OTROK,Male,,,,,,NA,NA,NA,NA,NA
Christopher Palmer,Unconventional Monetary Policy and the Allocation of Credit,University of California-Berkeley,Jan 05 2016,1:00 PM,"Hilton Union Square, Union Square 20",Econometric Society,Housing and Macroeconomics,A1,Stefano Giglio,University of Chicago,Alexander Chinco,University of Illinois-Urbana-Champaign,Marco Di Maggio,Columbia University,Philipp Schnabl,New York University,Charles G. Nathanson,Northwestern University,,,CHRISTOPHER PALMER,Male,,,,,,NA,NA,NA,NA,NA
Christopher Palmer,"IV Quantile Regression for Group-Level Treatments, with an Application to the Distributional Effects of Trade",University of California-Berkeley,Jan 05 2016,1:00 PM,"Hilton Union Square, Union Square 16",Econometric Society,Structural Econometrics Models,A1,Bradley Larsen,Stanford University,,,,,,,,,,,CHRISTOPHER PALMER,Male,,,,,,NA,NA,NA,NA,NA
Christopher R. Knittel,Using High-Frequency Interval Meter Data to Evaluate Energy Efficiency Investments in Schools,Massachusetts Institute of Technology,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 3 & 4",American Economic Association,Evaluating Energy Efficiency Programs,Q4,Hunt Allcott,New York University,Paulina Oliva Vallejo,University of California-Santa Barbara,Lucas Davis,University of California-Berkeley,Koichiro Ito,Boston University,Arik Levinson,Georgetown University,,,CHRISTOPHER R. KNITTEL,Male,CHISTOPHER KNITTEL,,,,,NA,NA,NA,NA,NA
Christopher R. Knittel,Weathering the Storm: Production Reallocation in the Face of Demand Shocks,Massachusetts Institute of Technology,Jan 05 2016,10:15 AM,"Hilton Union Square, Continental – Parlor 3",American Economic Association,"Automobile Fuel-Use and Pollution Policies (Q4, L9)",,Antonio M. Bento,Cornell University,Kenneth Gillingham,Yale University,Shanjun Li,Cornell University,Paulina Oliva Vallejo,University of California-Santa Barbara,James Sallee,University of Chicago,,,CHRISTOPHER R. KNITTEL,Male,CHISTOPHER KNITTEL,,,,,NA,NA,NA,NA,NA
Christopher R. Knittel,Technological Choice in Response to Environmental Regulation: Electricity Markets and the Clean Power Plan,Massachusetts Institute of Technology,Jan 03 2016,2:30 PM,"Hilton Union Square, Golden Gate 5",American Economic Association,Mitigation of Greenhouse Gases,Q4,Maximilian Auffhammer,University of California-Berkeley,,,,,,,,,,,CHRISTOPHER R. KNITTEL,Male,CHISTOPHER KNITTEL,,,,,NA,NA,NA,NA,NA
Christopher T. Conlon,Efficiency and Foreclosure Effects of Vertical Rebates: Empirical Evidence,Columbia University,Jan 05 2016,1:00 PM,"Hilton Union Square, Yosemite B",American Economic Association,"Welfare and Mergers in Vertical Relationships: Theory, Evidence and Policy Implications (L1, L4)",,Gautam Gowrisankaran,University of Arizona,Sofia Villas-Boas,University of California-Berkeley,Gautam Gowrisankaran,University of Arizona,Michael Riordan,Columbia University,Aviv Nevo,Northwestern University,,,Christopher T. Conlon,Male,CHRISTOPHER CONLON,,,,,NA,NA,NA,NA,NA
Christopher Tonetti,The Wealth of Wealthholders,Stanford University,Jan 03 2016,10:15 AM,"Hilton Union Square, Golden Gate 3 & 4",American Economic Association,Evaluating Survey Data Quality Using Administrative Records,C8,Christopher Bollinger,University of Kentucky,Joanne Hsu,Federal Reserve Board,David Johnson,U.S. Bureau of Economic Analysis,Nikolas Mittag,CERGE-EI,Jeff Larrimore,Federal Reserve Board,,,Christopher Tonetti,Male,,,,,,NA,NA,NA,NA,NA
Christopher Woodruff,Managerial Capital and Productivity: Evidence from a Training Program in the Bangladeshi Garment Sector,University of Warwick,Jan 03 2016,2:30 PM,"Marriott Marquis, Sierra A",Association for Economic and Development Studies on Bangladesh,"Microeconometric Studies on Development (O1, L1)",,Tanweer Akram,Voya Investment Management,Rachel Heath,University of Washington,Raymond Guiteras,University of Maryland,Marcel Fafchamps,Stanford University,Paul Schultz,Yale University,,,Christopher Woodruff,Male,,,,,,NA,NA,NA,NA,NA
Christos Makridis,"Does ‘Performance Pay’ Pay? The Effects of Contract Structure on Firm Dynamics, 2004-2014",Stanford University,Jan 03 2016,10:15 AM,"Hilton Union Square, Union Square 20",Econometric Society,The New Firm Dynamics of Business Cycle Fluctuations,A1,Steven J. Davis,University of Chicago,,,,,,,,,,,Christos Makridis,Male,,,,,,NA,NA,NA,NA,NA
Cindy Zoghi,Dispersion in Dispersion: Measuring Establishment-Level Differences in Productivity,U.S. Bureau of Labor Statistics,Jan 03 2016,8:00 AM,"Hilton Union Square, Golden Gate 1 & 2",American Economic Association,"Productivity Dispersion and Wage Inequality (D2, J3)",,John Haltiwanger,University of Maryland,Chad Syverson,University of Chicago,Gary Solon,University of Arizona,Jason Faberman,Federal Reserve Bank of Chicago,Steven J. Davis,University of Chicago,,,CINDY ZOGHI,Female,,,,,,NA,NA,NA,NA,NA
Claude Berrebi,Terrorism and Philanthropy: The Effect of Terror Attacks on the Scope of Giving by Individuals and Households,Hebrew University,Jan 04 2016,10:15 AM,"Parc 55, Powell I",Peace Science Society International,The Nature of Conflict,F5,Solomon W. Polachek,State University of New York-Binghamton,Tirthatanmoy Das,University of Central Florida,Ritam Chaurey,State University of New York-Binghamton,Carlos Seiglie,Rutgers University,Ariel Belasen,Southern Illinois University,,,CLAUDE BERREBI,Male,,,,,,NA,NA,NA,NA,NA
Claudia Goldin,Change Starts with UWE (Undergraduate Women in Economics),Harvard University,Jan 04 2016,10:15 AM,"Hilton Union Square, Plaza A",American Economic Association,New Approaches to Improving Diversity in Economics,A1,Cecilia Elena Rouse,Princeton University,David Laibson,Harvard University,Mahmoud El-Gamal,Rice University,Bridget Terry Long,Harvard University,,,,,CLAUDIA GOLDIN,Female,,,,,,NA,NA,NA,NA,NA
Claudia Goldin,"Watersheds in Infant Mortality: The Role of Effective Water and Sewerage Infrastructure, 1880 to 1915",Harvard University,Jan 03 2016,2:30 PM,"Hilton Union Square, Golden Gate 3 & 4",American Economic Association,"Mortality in Historical Perspective (N3, I1)",,Katherine Eriksson,University of California-Davis,Karen Clay,Carnegie Mellon University,Brian Beach,College of William and Mary,John Parman,College of William and Mary,Dora Costa,University of California-Los Angeles,,,CLAUDIA GOLDIN,Female,,,,,,NA,NA,NA,NA,NA
Claudia Olivetti,"Social Norms, Labor Market Opportunities, and the Marriage Market Penalty for Skilled Women",Boston University,Jan 05 2016,8:00 AM,"Hilton Union Square, Franciscan C",American Economic Association,Motherhood and the Labor Market,J1,Kevin Lang,Boston University,Carolina Castilla,Colgate University,Núria Rodríguez-Planas,City University of New York-Queens College,Christopher J. Ruhm,University of Virginia,Kevin Lang,Boston University,,,CLAUDIA OLIVETTI,Female,CLAUDIA OLIVETTI.,,,,,NA,NA,NA,NA,NA
Claudia Steinwender,The Intellectual Spoils of War,Harvard Business School,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 15",Econometric Society,Innovation and Technological Change,A1,Benjamin Roin,Massachusetts Institute of Technology,,,,,,,,,,,Claudia Steinwender,Female,,,,,,NA,NA,NA,NA,NA
Claudio Michelacci,Forward Misguidance,EIEF and CEMFI,Jan 04 2016,10:15 AM,"Hilton Union Square, Golden Gate 8",American Economic Association,Forward Guidance in Monetary Policy,E4,Douglas Pearce,North Carolina State University,,,,,,,,,,,CLAUDIO MICHELACCI,Male,,,,,,NA,NA,NA,NA,NA
Clemens Sialm,Coordinated Noise Trading: Evidence from Pension Fund Reallocations,University of Texas-Austin and NBER,Jan 04 2016,10:15 AM,"Marriott Marquis, Nob Hill A & B",American Finance Association,Institutional Biases and Asset Prices,G1,Alok Kumar,University of Miami,Jawad Addoum,University of Miami,Tarun Ramadorai,University of Oxford,Russell Jame,University of Kentucky,Richard Sias,University of Arizona,,,CLEMENS SIALM,Male,,,,,,NA,NA,NA,NA,NA
Clement Imbert,Can E-Governance Reduce Capture of Public Programs? Experimental Evidence from a Financial Reform of India's Employment Guarantee,Oxford University,Jan 05 2016,8:00 AM,"Hilton Union Square, Golden Gate 1 & 2",American Economic Association,"Using Information Technology to Improve Public Programs: Evidence from Asia, Africa, and Latin America (O1, H8)",,Karthik Muralidharan,University of California-San Diego,Paul Niehaus,University of California-San Diego,Clement Imbert,Oxford University,Ashok Kotwal,University of British Columbia,,,,,Clement Imbert,Male,,,,,,NA,NA,NA,NA,NA
Clifford Winston,Lifecycle Costs of Entry Barriers to the Legal Profession,Brookings Institution,Jan 05 2016,8:00 AM,"Hilton Union Square, Plaza B",American Economic Association,Labor Markets with Occupational Licensing: Their Economic Effects,J4,Alexandre Mas,Princeton University,Paul Joskow,Sloan Foundation and Massachusetts Institute of Technology,Jesse Rothstein,University of California-Berkeley,,,,,,,Clifford Winston,Male,,,,,,NA,NA,NA,NA,NA
Corbett Grainger,What the Frac? Sand Mining and Transport-Induced Externalities,University of Wisconsin-Madison,Jan 03 2016,8:00 AM,"Hilton Union Square, Sutter A & B",Association of Environmental & Resource Economists,"Hedonic Models of Land Value and Amenities: Methods and Applications (Q5, Q4)",,Nicolai Kuminoff,Arizona State University,Jaren C. Pope,Brigham Young University,Lucija Muehlenbachs,University of Calgary,Wolfram Schlenker,Columbia University,Ralph Mastromonaco,University of Oregon,,,Corbett Grainger,Male,,,,,,NA,NA,NA,NA,NA
Costas Arkolakis,Optimal City Structure,Yale University,Jan 04 2016,10:15 AM,"Marriott Marquis, Sierra B",International Economics & Finance Society,"International Trade, Economic Geography, and Firm Heterogeneity (F1, F2)",,Jeffrey H. Bergstrand,University of Notre Dame,,,,,,,,,,,COSTAS ARKOLAKIS,Male,,,,,,NA,NA,NA,NA,NA
Costas Meghir,Migration and Consumption Insurance in Bangladesh,Yale University,Jan 05 2016,1:00 PM,"Hilton Union Square, Union Square 13",Econometric Society,"Insurance, Migration and Economic Growth",A1,Mark Rosenzweig,Yale University,John Kennan,University of Wisconsin-Madison,Todd Schoellman,Arizona State University,Clement Imbert,University of Warwick,Mushfiq Mobarak,Yale University,,,COSTAS MEGHIR,Male,,,,,,NA,NA,NA,NA,NA
