"","author","year"
"718","Ahsanuzzaman Ahsanuzzaman","2015"
"719","Latchezar Popov","2015"
"720","P. Sai-wing Ho","2015"
"721","Jose Caraballo","2015"
"722","Erdogan Bakir","2015"
"723","Patricia Dechow","2015"
"724","Seungjoon Oh","2015"
"725","Dongyan Ye","2015"
"726","Hidemichi Fujii","2015"
"727","Lucjan T. Orlowski","2015"
"728","Berhanu Nega","2015"
"729","Bernando Guimaraes","2015"
"730","Xiao-Yuan Dong","2015"
"731","JaeBin Ahn","2015"
"732","Jose Pellerano","2015"
"733","Huichou Huang","2015"
"734","Harounan Kazianga","2015"
"735","Binzhen Wu","2015"
"736","Simen Markussen","2015"
"737","Xiaohui Gao","2015"
"738","Nickolay Gantchev","2015"
"739","Antoon Spithoven","2015"
"740","Jiaxiu He","2015"
"741","Lingwei Wu","2016"
"742","Simon Heß","2016"
"743","Delavane Diaz","2016"
"744","Hong Ru","2016"
"745","Murillo Campello","2016"
"746","Shihe Fu","2016"
"747","Ahiteme N. Houndonougbo","2016"
"748","F. Gregory Hayden","2016"
"749","Charalampos Konstantinidis","2016"
"750","Leonce Ndikumana","2016"
"751","Yongjie Ji","2016"
"752","Joaquin L. Vespignani","2016"
"753","Sushanta Mallick","2016"
"754","Sebastián Oleas","2016"
"755","Simon Wiederhold","2016"
"756","Simon Janssen","2016"
"757","Leilanie Basilio","2016"
"758","Ainhoa Aparicio Fenoll","2016"
"759","Jedrzej Bialkowski","2016"
"760","Hongjun Yan","2016"
"761","Ettore Croci","2016"
"762","Bjorn Imbierowicz","2016"
"763","Jerry Cao","2016"
"764","Tiecheng Leng","2016"
"765","Chintal Desai","2016"
"766","Yingchuan Liu","2016"
"767","Aureo de Paula","2016"
"768","S. Anukriti","2016"
"769","Odd-Helge Fjeldstad","2016"
"770","Syngjoo Choi","2016"
"771","Vilsa Curto","2016"
"772","Ekkehard A. Köhler","2016"
"773","T. William Lester","2016"
"774","Haimanti Bhattacharya","2016"
"775","Irineu de Carvalho Filho","2016"
"776","Denvil Duncan","2016"
"777","Nikolaj Arpe Harmon","2016"
"778","Jose Miguel Abito","2016"
"779","Daifeng He","2016"
"780","Xinding Yu","2016"
"781","Kunfu Zhu","2016"
"782","Kuo Zhang","2016"
"783","Zhongwei Huang","2016"
"784","Nicolas Bollen","2016"
"785","Lingxiao Li","2016"
"786","Tsur Somerville","2016"
"787","Atonu Rabbani","2016"
"788","Novica Supic","2016"
"789","Vanitha Ragunathan","2016"
"790","Wolter Hassink","2016"
"791","José Caraballo","2016"
"792","Gayaneh Kyureghian","2016"
"793","Huigang Chen","2016"
"794","Mahvash S. Qureshi","2016"
"795","Naci Mocan","2016"
"796","Yiseon Yoo","2016"
"797","Hong kee Sul","2016"
"798","Aleksejs Krecetovs","2016"
"799","Wenxi Jiang","2016"
"800","Kuncheng (K.C.) Zheng","2016"
"801","Talis Putnins","2016"
"802","Xuguang (Simon) Sheng","2016"
"803","Aggey Semenov","2016"
"804","Tanakorn Makaew","2016"
"805","Johanna Schauer","2016"
"806","Frédéric Lauzon Duguay","2016"
"807","Mengjie Lu","2016"
"808","Satyanarain Rengarajan","2016"
"809","Zhenyu Gao","2016"
"810","Gülserim Özcan","2016"
