,author,year,gender
709,Natarajan Balasubramanian,2015,M
710,Yorghos Tripodis,2015,M
711,Vulcan Productions and Cinelan Films,2015,
712,Shaghil Ahmed,2015,M
713,Brahima Coulibaly,2015,M
714,Huigang Chen,2015,M
715,Yuxi Jia,2015,F
716,Asam Chaudhry,2015,M
717,Seraphima Rombe-Shulman,2015,
718,Ahsanuzzaman Ahsanuzzaman,2015,M
719,Latchezar Popov,2015,M
720,P. Sai-wing Ho,2015,M
721,Jose Caraballo,2015,M
722,Erdogan Bakir,2015,M
723,Patricia Dechow,2015,M
724,Seungjoon Oh,2015,M
725,Dongyan Ye,2015,M
726,Hidemichi Fujii,2015,M
727,Lucjan T. Orlowski,2015,M
728,Berhanu Nega,2015,M
729,Bernando Guimaraes,2015,M
730,Xiao-Yuan Dong,2015,F
731,JaeBin Ahn,2015,M
732,Jose Pellerano,2015,M
733,Huichou Huang,2015,
734,Harounan Kazianga,2015,M
735,Binzhen Wu,2015,F
736,Simen Markussen,2015,M
737,Xiaohui Gao,2015,F
738,Nickolay Gantchev,2015,M
739,Antoon Spithoven,2015,M
740,Jiaxiu He,2015,M
741,Lingwei Wu,2016,F
742,Simon HeÃŸ,2016,M
743,Delavane Diaz,2016,F
744,Hong Ru,2016,M
745,Murillo Campello,2016,M
746,Shihe Fu,2016,M
747,Ahiteme N. Houndonougbo,2016,M
748,F. Gregory Hayden,2016,M
749,Charalampos Konstantinidis,2016,M
750,Leonce Ndikumana,2016,M
751,Yongjie Ji,2016,M
752,Joaquin L. Vespignani,2016,M
753,Sushanta Mallick,2016,M
754,SebastiÃ¡n Oleas,2016,M
755,Simon Wiederhold,2016,M
756,Simon Janssen,2016,M
757,Leilanie Basilio,2016,F
758,Ainhoa Aparicio Fenoll,2016,F
759,Jedrzej Bialkowski,2016,M
760,Hongjun Yan,2016,M
761,Ettore Croci,2016,M
762,Bjorn Imbierowicz,2016,M
763,Jerry Cao,2016,M
764,Tiecheng Leng,2016,M
765,Chintal Desai,2016,M
766,Yingchuan Liu,2016,F
767,Aureo de Paula,2016,M
768,S. Anukriti,2016,F
769,Odd-Helge Fjeldstad,2016,M
770,Syngjoo Choi,2016,M
771,Vilsa Curto,2016,F
772,Ekkehard A. KÃ¶hler,2016,M
773,T. William Lester,2016,M
774,Haimanti Bhattacharya,2016,F
775,Irineu de Carvalho Filho,2016,M
776,Denvil Duncan,2016,M
